"syn"	"gene"
"prolyl hydroxylase domain-containing protein 1::PHD1::HIF prolyl hydroxylase 1::HIF-PH1::HIF-prolyl hydroxylase 1::HIFPH1::HPH-1::HPH-3::hypoxia-inducible factor prolyl hydroxylase 1::estrogen-induced tag 6::DKFZp434E026::EGL nine (C.elegans) homolog 2::EGL nine homolog 2::egl nine homolog 2 (C. elegans)::EIT6"	"EGLN2"
"egl nine homolog 3::egl nine homolog 3 (C. elegans)::egl nine-like protein 3 isoform::PHD3::MGC125998::MGC125999::prolyl hydroxylase domain-containing protein 3::HIF prolyl hydroxylase 3::HIF-PH3::HIF-prolyl hydroxylase 3::HIFP4H3::HIFPH3::hypoxia-inducible factor prolyl hydroxylase 3::FLJ21620"	"EGLN3"
"NCRNA00190::EGO::eosinophil granule ontogeny transcript (non-protein coding)"	"EGOT"
"KROX-24::G0S30::nerve growth factor-induced protein A::NGFI-A::zinc finger protein Krox-24::ZNF225::ZIF-268::zinc finger protein 225::TIS8::transcription factor ETR103::transcription factor Zif268::Egr-1::early growth response 1::early growth response protein 1::AT225"	"EGR1"
"AT591::CMT1D::CMT4E::DKFZp686J1957::early growth response 2::early growth response 2 protein::early growth response protein 2::E3 SUMO-protein ligase EGR2::OTTHUMP00000062133::FLJ14547::Krox-20 homolog, Drosophila::KROX-20, Drosophila, homolog (early growth response-2)::KROX20::zinc finger protein Krox-20"	"EGR2"
"zinc finger protein pilot::PILOT::MGC138484::early growth response 3::early growth response protein 3::EGR-3"	"EGR3"
"EGR-4::early growth response 4::early growth response protein 4::AT133::PAT133::NGFI-C::NGFIC"	"EGR4"
"Ehbp1"	"EHBP1"
"FLJ35431::tangerin::DKFZp762C186::EH domain binding protein 1-like 1::EH domain-binding protein 1-like protein 1"	"EHBP1L1"
"FLJ42622::FLJ44618::H-PAST::HPAST1::testilin::EH domain-containing protein 1::EH-domain containing 1::CDABP0131::OTTHUMP00000069747::PAST::PAST homolog 1::PAST1"	"EHD1"
"EH domain containing 2::EH domain-containing protein 2::EH-domain containing 2::PAST homolog 2::PAST2::FLJ96617"	"EHD2"
"PAST homolog 3::PAST3::EH domain containing 3::EH domain-containing protein 3::EH-domain containing 3"	"EHD3"
"EH domain containing 4::EH domain-containing protein 4::EH-domain containing 4::hepatocellular carcinoma-associated protein 10/11::hepatocellular carcinoma-associated protein HCA11::FKSG7::ortholog of rat pincher::PAST homolog 4::PAST4"	"EHD4"
"hEHF::ESE3::ESE3 transcription factor::ESE3B::ESEJ::ETS domain-containing transcription factor::ets homologous factor::epithelium-specific ets factor 3::epithelium-specific Ets transcription factor 3"	"EHF"
"MGC120586::PBE::PBFE::peroxisomal bifunctional enzyme::peroxisomal enoyl-CoA hydratase::ECHD::3,2-trans-enoyl-CoA isomerase::L-3-hydroxyacyl-CoA dehydrogenase::L-bifunctional protein, peroxisomal::L-PBE::LBFP::LBP::enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase::enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase"	"EHHADH"
"hypothetical LOC339926::EHHADH antisense RNA 1"	"EHHADH-AS1"
"bA188C12.1::DKFZp667M072::DEL9q34::Eu-HMTase1::euchromatic histone-lysine N-methyltransferase 1::EUHMTASE1::KIAA1876::KMT1D::GLP::GLP1::H3-K9-HMTase 5::histone H3-K9 methyltransferase 5::histone-lysine N-methyltransferase EHMT1::histone-lysine N-methyltransferase, H3 lysine-9 specific 5::FLJ12879::FP13812::G9a like protein::G9a-like protein 1::lysine N-methyltransferase 1D::RP11-188C12.1::OTTHUMP00000022711"	"EHMT1"
"protein G9a::C6orf30::DKFZp686H08213::DAAP-66K18.3::ankyrin repeat-containing protein::BAT8::NG36::NG36/G9a::OTTHUMP00000029262::H3-K9-HMTase 3::KMT1C::histone H3-K9 methyltransferase 3::histone-lysine N-methyltransferase EHMT2::histone-lysine N-methyltransferase, H3 lysine-9 specific 3::HLA-B associated transcript 8::HLA-B-associated transcript 8::euchromatic histone-lysine N-methyltransferase 2::lysine N-methyltransferase 1C::G9A::G9A histone methyltransferase::FLJ35547::GAT8"	"EHMT2"
"p53-induced gene 8 protein::PIG8::tumor protein p53 inducible protein 8::TP53I8::ectopic P-granules autophagy protein 4 homolog::etoposide induced 2.4::etoposide induced 2.4 mRNA::etoposide-induced protein 2.4 homolog::EPG4"	"EI24"
"CREBBP/EP300 inhibitor 1::CREBBP/EP300 inhibitory protein 1::CRI1::C15orf3::21 kDa pRb-associated protein::E1A-like inhibitor of differentiation 1::EID-1::MGC138883::MGC138884::NB4 apoptosis related protein::PNAS-22::PTD014::Rb- and p300-binding protein EID-1::RBP21::retinoblastoma protein-associated protein::EP300 interacting inhibitor of differentiation 1::EP300-interacting inhibitor of differentiation 1::IRO45620"	"EID1"
"EP300 interacting inhibitor of differentiation 2::EP300-interacting inhibitor of differentiation 2::E1A like inhibitor of differentiation 2::EID-1-like inhibitor of differentiation 2::EID-2::CREBBP/EP300 inhibitor 2::CREBBP/EP300 inhibitory protein 2::CRI2::MGC20452::OTTHUMP00000082707"	"EID2"
"EID-2-like inhibitor of differentiation 3::EID-2-like inhibitor of differentiation-3::EID-2B::EID-3::EP300 interacting inhibitor of differentiation 2B::EP300-interacting inhibitor of differentiation 2B::FLJ38944"	"EID2B"
"non-SMC element 4 homolog B::non-structural maintenance of chromosomes element 4 homolog B::NS4EB::NSE4B::NSMCE4B::E1A-like inhibitor of differentiation 3::EID-1-like inhibitor of differentiation 3::EP300 interacting inhibitor of differentiation 3::EP300-interacting inhibitor of differentiation 3::FLJ25832"	"EID3"
"eukaryotic translation initiation factor 1::ISO1::protein translation factor SUI1 homolog::SUI1::SUI1ISO1::A121::EIF-1::EIF1A"	"EIF1"
"MGC11102::haponin::eukaryotic translation initiation factor 1A domain containing::eukaryotic translation initiation factor 1A domain-containing protein::probable RNA-binding protein EIF1AD"	"EIF1AD"
"eukaryotic translation initiation factor 1A, X chromosome::eukaryotic translation initiation factor 1A, X-chromosomal::eukaryotic translation initiation factor 1A, X-linked::eukaryotic translation initiation factor 4C::OTTHUMP00000024300::X-linked eukaryotic translation initiation factor 1A::Putative eukaryotic translation initiation factor 1A::RP11-393H10.1::eIF-1A::eIF-1A X isoform::eIF-4C::EIF1A::EIF1AP1::EIF4C"	"EIF1AX"
"translation factor sui1 homolog::protein translation factor SUI1 homolog GC20::eukaryotic translation initiation factor 1B::GC20"	"EIF1B"
"MST089::MSTP004::MSTP089::65 kDa eukaryotic translation initiation factor 2A::CDA02::EIF-2A::eukaryotic translation initiation factor 2A::eukaryotic translation initiation factor 2A, 65kDa"	"EIF2A"
"PRO1362::KIAA1369::eukaryotic translation initiation factor 2-alpha kinase 1::HCR::heme regulated initiation factor 2 alpha kinase::heme sensitive initiation factor 2a kinase::heme-controlled repressor::heme-regulated eukaryotic initiation factor eIF-2-alpha kinase::heme-regulated inhibitor::heme-regulated initiation factor 2-alpha kinase::heme-regulated repressor::hemin-sensitive initiation factor 2-alpha kinase::HRI"	"EIF2AK1"
"PRKR::protein kinase, interferon-inducible double stranded RNA dependent::tyrosine-protein kinase EIF2AK2::OTTHUMP00000201320::OTTHUMP00000126954::MGC126524::P1/eIF-2A protein kinase::PKR::p68 kinase::double stranded RNA activated protein kinase::eIF-2A protein kinase 2::EIF2AK1::eukaryotic translation initiation factor 2-alpha kinase 2::interferon-induced, double-stranded RNA-activated protein kinase::interferon-inducible elF2alpha kinase"	"EIF2AK2"
"PEK::pancreatic EIF2-alpha kinase::PERK::eukaryotic translation initiation factor 2 alpha kinase 3::eukaryotic translation initiation factor 2-alpha kinase 3::HRI::hsPEK::PRKR-like endoplasmic reticulum kinase::WRS::DKFZp781H1925"	"EIF2AK3"
"eukaryotic translation initiation factor 2 alpha kinase 4::eukaryotic translation initiation factor 2-alpha kinase 4::KIAA1338::GCN2::GCN2 eIF2alpha kinase::GCN2-like protein"	"EIF2AK4"
"eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa::EIF-2B::eIF-2B GDP-GTP exchange factor subunit alpha::EIF-2Balpha::EIF2B::EIF2BA::MGC117409::MGC125868::MGC125869::translation initiation factor eIF-2B subunit alpha"	"EIF2B1"
"eIF-2B GDP-GTP exchange factor subunit beta::EIF-2Bbeta::EIF2B::eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa::S20I15::S20III15::translation initiation factor eIF-2B subunit beta"	"EIF2B2"
"translation initiation factor eIF-2B subunit gamma::RP5-882O7.2::eukaryotic translation initiation factor 2B, subunit 3 gamma::eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa::OTTHUMP00000010262::EIF-2B::eIF-2B GDP-GTP exchange factor subunit gamma::EIF2Bgamma"	"EIF2B3"
"eukaryotic translation initiation factor 2B subunit 4 delta::eukaryotic translation initiation factor 2B, subunit 4 delta::eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa::DKFZp586J0119::EIF-2B::eIF-2B GDP-GTP exchange factor subunit delta::EIF2B::EIF2Bdelta::translation initiation factor eIF-2b delta subunit::translation initiation factor eIF-2B subunit delta"	"EIF2B4"
"translation initiation factor eIF-2B subunit epsilon::eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa::LVWM::EIF-2B::eIF-2B GDP-GTP exchange factor::eIF-2B GDP-GTP exchange factor subunit epsilon::EIF2Bepsilon::CACH::CLE"	"EIF2B5"
"OTTHUMP00000034537::RP11-534L20.3::eukaryotic translation initiation factor 2D::Hepatocellular carcinoma-associated antigen 56::HCA56::LGTN::ligatin"	"EIF2D"
"EIF-2::eIF-2-alpha::EIF-2A::EIF-2alpha::EIF2::EIF2A::eukaryotic translation initiation factor 2 subunit 1::eukaryotic translation initiation factor 2 subunit alpha::eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa"	"EIF2S1"
"DKFZp686L18198::eIF-2-beta::EIF2::EIF2B::EIF2beta::eukaryotic initiation factor 2-beta::eukaryotic translation initiation factor 2 beta::eukaryotic translation initiation factor 2 subunit 2::eukaryotic translation initiation factor 2 subunit beta::eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa::protein phosphatase 1, regulatory subunit 67::OTTHUMP00000030680::MGC8508::PPP1R67"	"EIF2S2"
"eIF-2-gamma X::eIF-2gA::Eif-2gx::EIF2::EIF2G::EIF2gamma::eukaryotic translation initiation factor 2 subunit 3::eukaryotic translation initiation factor 2 subunit gamma X::eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa::eukaryotic translation initiation factor 2G"	"EIF2S3"
"OTTHUMP00000020589::P167::p180::p185::centrosomin homolog::eIF-3-theta::EIF3::eIF3 p167::eIF3 p180::eIF3 p185::EIF3, p180 subunit::eIF3-p170::eIF3-theta::EIF3S10::cytoplasmic protein p167::TIF32::KIAA0139::eukaryotic translation initiation factor 3 subunit 10::eukaryotic translation initiation factor 3 subunit A::eukaryotic translation initiation factor 3, subunit 10 (theta, 150/170kD)::eukaryotic translation initiation factor 3, subunit 10 (theta, 170kD)::eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa::eukaryotic translation initiation factor 3, subunit 10, 170kD::eukaryotic translation initiation factor 3, subunit A"	"EIF3A"
"eukaryotic translation initiation factor 3 subunit 9::eukaryotic translation initiation factor 3 subunit B::eukaryotic translation initiation factor 3, subunit 9 (eta, 116kD)::eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa::eukaryotic translation initiation factor 3, subunit B::eIF-3-eta::eIF3 p116::EIF3-ETA::EIF3-P110::EIF3-P116::EIF3S9::MGC131875::MGC104664::PRT1::prt1 homolog"	"EIF3B"
"eIF3-p110::EIF3CL::EIF3S8::cell migration-inducing protein 17::eukaryotic translation initiation factor 3, subunit 8 (110kD)::eukaryotic translation initiation factor 3, subunit 8, 110kDa::eukaryotic translation initiation factor 3, subunit C::FLJ78287::MGC189744"	"EIF3C"
"eukaryotic translation initiation factor 3, subunit 8, 110kDa-like::eukaryotic translation initiation factor 3, subunit C-like::OTTHUMP00000122518"	"EIF3CL"
"MGC17258::MGC126526::OTTHUMP00000197901::OTTHUMP00000028733::eIF-3-zeta::eIF3 p66::eIF3-p66::eIF3-zeta::EIF3S7::translation initiation factor eIF3 p66 subunit::RP5-1119A7.12::RP5-1119A7.12-003::eukaryotic translation initiation factor 3 subunit 7::eukaryotic translation initiation factor 3 subunit D::eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa::eukaryotic translation initiation factor 3, subunit D"	"EIF3D"
"murine mammary tumor integration site 6 (oncogene homolog)::INT6::mammary tumor-associated protein INT6::eukaryotic translation initiation factor 3 subunit 6::eukaryotic translation initiation factor 3 subunit E::eukaryotic translation initiation factor 3, subunit 6 (48kD)::eukaryotic translation initiation factor 3, subunit 6 48kDa::eukaryotic translation initiation factor 3, subunit E::viral integration site protein INT-6 homolog::eIF-3 p48::eIF3-p46::EIF3-P48::EIF3S6"	"EIF3E"
"eukaryotic translation initiation factor 3 subunit F::eukaryotic translation initiation factor 3, subunit 5 (epsilon, 47kD)::eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa::eukaryotic translation initiation factor 3, subunit F::eIF-3-epsilon::eIF3-epsilon::eIF3-p47::EIF3S5::deubiquitinating enzyme eIF3f"	"EIF3F"
"eIF-3 RNA-binding subunit::eIF-3-delta::eIF3 p42::eIF3 p44::eIF3-delta::EIF3-P42::eIF3-p44::EIF3S4::eukaryotic translation initiation factor 3 RNA-binding subunit::eukaryotic translation initiation factor 3 subunit 4::eukaryotic translation initiation factor 3 subunit G::eukaryotic translation initiation factor 3 subunit p42::eukaryotic translation initiation factor 3, subunit 4 (delta, 44kD)::eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa::eukaryotic translation initiation factor 3, subunit G"	"EIF3G"
"eukaryotic translation initiation factor 3 subunit 3::eukaryotic translation initiation factor 3 subunit H::eukaryotic translation initiation factor 3, subunit 2 (beta, 36kD)::eukaryotic translation initiation factor 3, subunit 3 (gamma, 40kD)::eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa::eukaryotic translation initiation factor 3, subunit H::eIF-3-gamma::eIF3 p40 subunit::eIF3-gamma::eIF3-p40::EIF3S3::MGC102958"	"EIF3H"
"OTTHUMP00000008492::eIF-3-beta::eIF3 p36::eIF3-beta::eIF3-p36::EIF3S2::eukaryotic translation initiation factor 3 subunit 2::eukaryotic translation initiation factor 3 subunit I::eukaryotic translation initiation factor 3, subunit 2 (beta, 36kD)::eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa::eukaryotic translation initiation factor 3, subunit I::RP4-675E8.1::TGFbeta receptor-interacting protein 1::TGF-beta receptor-interacting protein 1::PRO2242::predicted protein of HQ2242::TRIP-1::TRIP1"	"EIF3I"
"RG208K23::eukaryotic translation initiation factor 3, subunit I pseudogene 1"	"EIF3IP1"
"PRO0391::eIF-3-alpha::eIF3 p35::eIF3-alpha::eIF3-p35::EIF3S1::eukaryotic translation initiation factor 3 subunit 1::eukaryotic translation initiation factor 3 subunit J::eukaryotic translation initiation factor 3, subunit 1 (alpha, 35kD)::eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa::eukaryotic translation initiation factor 3, subunit J"	"EIF3J"
"eukaryotic translation initiation factor 3 subunit 12::eukaryotic translation initiation factor 3 subunit K::eukaryotic translation initiation factor 3, subunit 12::eukaryotic translation initiation factor 3, subunit K::HSPC029::M9::PTD001::PRO1474::ARG134::eIF-3 p25::eIF-3 p28::EIF3-p28::EIF3S12::PLAC-24::PLAC24::MSTP001::muscle specific::muscle-specific gene M9 protein"	"EIF3K"
"HSPC021::HSPC025::eukaryotic translation initiation factor 3 subunit 6 interacting protein::Eukaryotic translation initiation factor 3 subunit 6-interacting protein::Eukaryotic translation initiation factor 3 subunit E-interacting protein::eukaryotic translation initiation factor 3 subunit L::eukaryotic translation initiation factor 3, subunit 6 interacting protein::eukaryotic translation initiation factor 3, subunit E interacting protein::eukaryotic translation initiation factor 3, subunit L::eIEF associated protein HSPC021::EIF3EIP::EIF3S11::EIF3S6IP::AL022311.1::OTTHUMP00000028693::MSTP005"	"EIF3L"
"PCI domain containing 1 (herpesvirus entry mediator)::PCI domain-containing protein 1::PCID1::dendritic cell protein::B5::B5 receptor::fetal lung protein B5::eukaryotic translation initiation factor 3 subunit M::eukaryotic translation initiation factor 3, subunit M::hfl-B5::FLJ29030::GA17"	"EIF3M"
"ATP-dependent RNA helicase eIF4A-1::EIF-4A::eIF-4A-I::EIF4A::eIF4A-I::DDX2A::eukaryotic initiation factor 4A-I::eukaryotic initiation factor 4AI::eukaryotic translation initiation factor 4A isoform 1::eukaryotic translation initiation factor 4A1::OTTHUMP00000135288"	"EIF4A1"
"DDX2B::ATP-dependent RNA helicase eIF4A-2::eIF-4A-II::EIF4A::eIF4A-II::EIF4F::BM-010::eukaryotic initiation factor 4A-II::eukaryotic translation initiation factor 4A2"	"EIF4A2"
"ATP-dependent RNA helicase DDX48::ATP-dependent RNA helicase eIF4A-3::DDX48::DEAD (Asp-Glu-Ala-Asp) box polypeptide 48::DEAD box protein 48::eIF-4A-III::eIF4A-III::eIF4AIII::NMP 265::NMP265::nuclear matrix protein 265::NUK-34::NUK34::MGC10862::KIAA0111::eukaryotic initiation factor 4A-III::eukaryotic initiation factor 4A-like NUK-34::eukaryotic translation initiation factor 4A, isoform 3::eukaryotic translation initiation factor 4A3::hNMP 265::hNMP265"	"EIF4A3"
"eukaryotic translation initiation factor 4B::PRO1843::EIF-4B"	"EIF4B"
"eIF-4E::eIF-4F 25 kDa subunit::EIF4E1::EIF4EL1::EIF4F::CBP::eukaryotic translation initiation factor 4E::eukaryotic translation initiation factor 4E-like 1::MGC111573::mRNA cap-binding protein"	"EIF4E"
"eukaryotic translation initiation factor 4E family member 1B::Eukaryotic translation initiation factor 4E type 1B::FLJ36951"	"EIF4E1B"
"IF4e::eukaryotic translation initiation factor 4E family member 2::eukaryotic translation initiation factor 4E homologous protein::eukaryotic translation initiation factor 4E member 2::eukaryotic translation initiation factor 4E type 2::eukaryotic translation initiation factor 4E-like 3::4E-LP::4EHP::eIF-4E type 2::eIF4E type 2::eIF4E-like cap-binding protein::eIF4E-like protein 4E-LP::EIF4EL3::mRNA cap-binding protein 4EHP::mRNA cap-binding protein type 3"	"EIF4E2"
"eIF-4E type 3::eIF-4E3::eIF4E type 3::eIF4E-3::eukaryotic translation initiation factor 4E family member 3::eukaryotic translation initiation factor 4E member 3::eukaryotic translation initiation factor 4E type 3::MGC86971::MGC39820"	"EIF4E3"
"phosphorylated heat- and acid-stable protein regulated by insulin 1::PHAS-I::MGC4316::eukaryotic translation initiation factor 4E binding protein 1::eukaryotic translation initiation factor 4E-binding protein 1::BP-1::eIF4E-binding protein 1::4E-BP1::4EBP1"	"EIF4EBP1"
"4E-BP2::4EBP2::eIF4E-binding protein 2::eukaryotic translation initiation factor 4E binding protein 2::eukaryotic translation initiation factor 4E-binding protein 2::PHASII::phosphorylated, heat and acid stable regulated by insulin protein II::OTTHUMP00000019756"	"EIF4EBP2"
"OTTHUMP00000159879::eukaryotic initiation factor 4E-binding protein 3::eukaryotic translation initiation factor 4E binding protein 3::eukaryotic translation initiation factor 4E-binding protein 3::4E-BP3::4EBP3::eIF4E-binding protein 3"	"EIF4EBP3"
"RP11-247I13.2::Clast4::eIF4E transporter::eIF4E-transporter::4E-T::2610509L04Rik::eukaryotic translation initiation factor 4E nuclear import factor 1::eukaryotic translation initiation factor 4E transporter::FLJ21601::FLJ26551::OTTHUMP00000063276"	"EIF4ENIF1"
"DKFZp686A1451::eIF-4-gamma 1::EIF-4G1::EIF4-gamma::EIF4F::EIF4G::EIF4GI::eucaryotic translation initiation factor 4G::eukaryotic translation initiation factor 4 gamma 1::eukaryotic translation initiation factor 4 gamma, 1::PARK18::P220"	"EIF4G1"
"P97::NAT1::OK/SW-cl.75::eukaryotic translation initiation factor 4 gamma 2::eukaryotic translation initiation factor 4 gamma, 2::eukaryotic translation initiation factor 4G-like 1::FLJ41344::eIF-4-gamma 2::eIF-4G 2::eIF4G 2::death-associated protein 5::DAP5::aging-associated protein 1::AAG1"	"EIF4G2"
"eIF-4-gamma 3::eIF-4-gamma II::eIF-4G 3::eIF4G 3::eIF4GII::RP11-190H11.1::eukaryotic translation initiation factor 4 gamma 3::eukaryotic translation initiation factor 4 gamma, 3::OTTHUMP00000002722"	"EIF4G3"
"WBSCR1::Williams-Beuren syndrome chromosome region 1::WSCR1::OTTHUMP00000024643::eukaryotic translation initiation factor 4H::KIAA0038::eIF-4H"	"EIF4H"
"EIF-5::EIF-5A::eukaryotic translation initiation factor 5"	"EIF5"
"eukaryotic translation initiation factor 5A::eukaryotic translation initiation factor 5A-1::eIF-4D::EIF-5A::eIF-5A-1::eIF-5A1::EIF5A1::eIF5AI::MGC99547::OTTHUMP00000128384::MGC104255::uORF::uORF A::rev-binding factor"	"EIF5A"
"eIF-5A-2::EIF-5A2::eIF-5A2 protein::eIF5AII::eukaryotic translation initiation factor 5A-2::eukaryotic translation initiation factor 5A2"	"EIF5A2"
"eukaryotic translation initiation factor 5A pseudogene 1::eukaryotic translation initiation factor 5A-1-like::eukaryotic translation initiation factor 5A-like 1::RP11-342M3.3::bA342M3.3::EIF5AP1"	"EIF5AL1"
"translation initiation factor IF-2::translation initiation factor IF2::KIAA0741::FLJ10524::eukaryotic translation initiation factor 5B::IF2::DKFZp434I036::eIF-5B"	"EIF5B"
"eukaryotic translation initiation factor 3A::eukaryotic translation initiation factor 6::integrin beta 4 binding protein::gcn::ITGB4BP::CAB::eIF-6::EIF3A::b::b(2)gcn::B4 integrin interactor::2::RP4-614O4.1::p27 beta-4 integrin-binding protein::p27(BBP)::p27BBP::OTTHUMP00000061360::OTTHUMP00000061361::OTTHUMP00000030734"	"EIF6"
"deleted in Ma29::D29::elaC homolog 1::elaC homolog 1 (E. coli)::elaC homolog protein 1::zinc phosphodiesterase ELAC protein 1::RNase Z 1::ribonuclease Z 1::tRNA 3 endonuclease 1::tRNA 3' processing endoribonuclease::tRNA Z (short form)::tRNase Z 1::tRNase ZS"	"ELAC1"
"elaC homolog 2::elaC homolog 2 (E. coli)::elaC homolog protein 2::ELC2::FLJ10530::HPC2::FLJ36693::FLJ42848::hereditary prostate cancer::heredity prostate cancer protein 2::zinc phosphodiesterase ELAC protein 2::tRNA 3 endonuclease 2::tRNA Z (long form)::tRNase Z (long form)::tRNase Z 2::putative prostate cancer susceptibility protein::putative prostate cancer susceptibility protein HPC2/ELAC2::RNase Z 2::ribonuclease Z 2"	"ELAC2"
"ELA2::elastase 2, neutrophil::elastase, neutrophil expressed::elastase-2::bone marrow serine protease::leukocyte elastase::granulocyte-derived elastase::GE::HNE::human leukocyte elastase::HLE::SCN1::medullasin::NE::neutrophil elastase::PMN elastase::PMN-E::polymorphonuclear elastase"	"ELANE"
"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)::ELAV-like 1::ELAV-like protein 1::ELAV1::Hu antigen R::hu-antigen R::Hua::HUR::embryonic lethal, abnormal vision, drosophila, homolog-like 1::MelG"	"ELAVL1"
"RP11-315I14.4::HU-antigen B::HUB::Embryonic lethal, abnormal vision, Drosophila, homolog of, like-2::HEL-N1::HELN1::OTTHUMP00000021157::nervous system-specific RNA-binding protein Hel-N1::ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)::ELAV-like neuronal protein 1::ELAV-like protein 2"	"ELAVL2"
"MGC20653::PLE21::paraneoplastic cerebellar degeneration-associated antigen::paraneoplastic limbic encephalitis antigen 21::ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)::ELAV-like protein 3::DKFZp547J036::Hu antigen C::HU-antigen C::HUC::HUCL"	"ELAVL3"
"Hu antigen D::HU-antigen D::HUD::Embryonic lethal, abnormal vision, Drosophila, homolog of, like-4::paraneoplastic encephalomyelitis antigen HuD::PNEM::OTTHUMP00000009609::OTTHUMP00000009611::OTTHUMP00000009612::ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4::ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)::ELAV-like 4::ELAV-like protein 4"	"ELAVL4"
"OTTHUMP00000164540::NERF::NERF-1A::NERF-1a,b::NERF-1B::NERF-2::new Ets-related factor::ets family transcription factor ELF2C::ETS-related transcription factor Elf-2::EU32::E74-like factor 2 (ets domain transcription factor)"	"ELF2"
"E74-like factor 3 (ets domain transcription factor)::E74-like factor 3 (ets domain transcription factor, epithelial-specific )::E74-like factor 3 (ETS domain transcription factor, serine box, epithelial-specific)::ERT::ESE-1::ESX::ets domain transcription factor, serine box (epithelial-specific)::ETS-related transcription factor Elf-3::epithelial-restricted with serine box::epithelium-restricted Ets protein ESX::epithelium-specific Ets transcription factor 1::EPR-1::OTTHUMP00000034050::OTTHUMP00000034051::OTTHUMP00000034052::RP11-510N19.1"	"ELF3"
"RP3-510O21.2::ETS-related transcription factor Elf-4::E74-like factor 4::E74-like factor 4 (ets domain transcription factor)::ELFR::OTTHUMP00000024003::OTTHUMP00000024004::myeloid elf-1-like factor::MEF"	"ELF4"
"ESE2::ETS-related transcription factor Elf-5::epithelium-restricted ESE-1-related Ets factor::epithelium-specific Ets transcription factor 2::E74-like factor 5::E74-like factor 5 (ets domain transcription factor)"	"ELF5"
"protein phosphatase 1 regulatory subunit 28::protein phosphatase 1, regulatory subunit 28::PPP1R28::LOC392617::extracellular leucine-rich repeat and fibronectin type III containing 1::extracellular leucine-rich repeat and fibronectin type III domain containing 1::extracellular leucine-rich repeat and fibronectin type-III domain-containing protein 1"	"ELFN1"
"KIAA1904::leucine rich repeat containing 62::leucine-rich repeat and fibronectin type-III domain-containing protein 6::leucine-rich repeat-containing protein 62::LRRC62::extracellular leucine-rich repeat and fibronectin type III containing 2::extracellular leucine-rich repeat and fibronectin type III domain containing 2::extracellular leucine-rich repeat and fibronectin type III domain-containing protein 2::OTTHUMP00000028829::OTTHUMP00000197827::PPP1R29::protein phosphatase 1 regulatory subunit 29::protein phosphatase 1, regulatory subunit 29::dJ63G5.3::dJ63G5.3 (putative Leucine rich protein)"	"ELFN2"
"ELK1 protein::ELK1, member of ETS oncogene family::OTTHUMP00000023224::OTTHUMP00000023225::tyrosine kinase (ELK1) oncogene::ETS domain-containing protein Elk-1::ETS-like gene 1"	"ELK1"
"ELK3 protein::ELK3, ETS-domain protein (SRF accessory protein 2)::NET::ERP::ETS domain-containing protein Elk-3::ETS-domain protein::ETS-related protein ERP::ETS-related protein NET::SAP2::serum response factor accessory protein 2::SRF accessory protein 2"	"ELK3"
"SRF accessory protein 1::sap-1::SAP1::serum response factor accessory protein 1::OTTHUMP00000035339::ELK4 protein::ELK4, ETS-domain protein (SRF accessory protein 1)::ETS domain-containing protein Elk-4::ETS-domain protein"	"ELK4"
"DKFZp434I1916::C19orf17::eleven-nineteen lysine-rich leukemia::eleven-nineteen lysine-rich leukemia protein::ELL gene (11-19 lysine-rich leukemia gene)::ELL1::MEN::PPP1R68::elongation factor RNA polymerase II::protein phosphatase 1, regulatory subunit 68::RNA polymerase II elongation factor ELL"	"ELL"
"FLJ22637::elongation factor RNA polymerase II-like 3::RNA polymerase II elongation factor ELL3"	"ELL3"
"ELMO-1::engulfment and cell motility 1::engulfment and cell motility protein 1::KIAA0281::CED-12::ced-12 homolog 1::CED12::OTTHUMP00000207056::OTTHUMP00000207060::MGC126406"	"ELMO1"
"OTTHUMP00000031762::PH domain protein CED12A::protein ced-12 homolog A::RP11-394O2.2::CED-12::ced-12 homolog 2::CED12::hCed-12A::FLJ11656::ELMO-2::engulfment and cell motility 2::engulfment and cell motility protein 2::KIAA1834"	"ELMO2"
